,SHIPMENT_NUMBER,Record Timestamp,Delay (minutes)
239,SEZHUK-231025-256228,2023-10-27 06:54:00,31.072
240,SEZHUK-231025-256236,2023-11-07 08:02:00,1.171
241,SEZHUK-231025-256290,2023-11-10 08:47:00,32.023
242,SEZHUK-231025-256297,2023-11-08 18:39:00,97.149
243,SEZHUK-231025-256368,2023-11-08 08:25:00,18901.802000000003
244,SEZHUK-231025-256373,2023-11-03 09:23:00,4659.107
245,SEZHUK-231025-256392,2023-10-27 02:53:00,67.59099998333333
246,SEZHUK-231025-256539,2023-11-09 17:23:00,20588.387
247,SEZHUK-231025-256542,2023-10-27 13:08:00,1598.558
248,SEZHUK-231026-256725,2023-10-28 07:47:00,189.417
249,SEZHUK-231026-256749,2023-10-30 15:41:00,4451.857999999999
250,SEZHUK-231026-256755,2023-10-28 08:25:00,37.176
251,SEZHUK-231026-256778,2023-11-01 10:21:00,1559.805999983333
252,SEZHUK-231026-256841,2023-11-02 11:24:00,8668.979
253,SEZHUK-231026-256843,2023-10-27 14:41:00,510.4313333333333
254,SEZHUK-231026-256856,2023-11-02 11:37:00,8750.317000000001
255,SEZHUK-231026-256861,2023-10-30 10:48:00,113.129
256,SEZHUK-231026-256879,2023-10-30 12:36:00,48.948
257,SEZHUK-231026-256883,2023-10-30 10:20:00,1.846
258,SEZHUK-231026-256896,2023-11-14 07:31:00,25961.947
259,SEZHUK-231026-256940,2023-10-28 02:53:00,155.692
260,SEZHUK-231026-256971,2023-10-27 15:43:00,29.084999983333333
261,SEZHUK-231027-257030,2023-11-03 09:31:00,31.161
262,SEZHUK-231027-257045,2023-11-03 11:46:00,52.648
263,SEZHUK-231027-257079,2023-10-31 21:32:00,38.016
264,SEZHUK-231027-257095,2023-11-06 07:20:00,20.689999983333333
265,SEZHUK-231027-257111,2023-11-02 02:49:00,94.61
266,SEZHUK-231027-257149,2023-11-03 03:54:00,84.03999999999999
267,SEZHUK-231027-257178,2023-10-31 11:05:00,41.018
268,SEZHUK-231027-257188,2023-11-01 13:01:00,2855.526
269,SEZHUK-231027-257222,2023-10-31 08:52:00,53.032
270,SEZHUK-231027-257241,2023-10-30 16:41:00,73.596
271,SEZHUK-231027-257248,2023-10-30 17:19:00,94.568
272,SEZHUK-231027-257250,2023-10-30 11:47:00,22.423
273,SEZHUK-231028-257404,2023-11-08 13:55:00,12606.792999983332
274,SEZHUK-231028-257406,2023-10-30 13:48:00,74.605
275,SEZHUK-231028-257408,2023-10-30 22:32:00,92.50499998333332
276,SEZHUK-231028-257475,2023-10-29 08:57:00,2.603333333333333
277,SEZHUK-231029-257555,2023-11-01 08:44:00,54.775333333333336
278,SEZHUK-231029-257560,2023-11-02 07:58:00,2.385333333333333
279,SEZHUK-231029-257565,2023-11-03 08:52:00,56.462333333333326
280,SEZHUK-231029-257576,2023-11-01 04:59:00,6.787333333333334
281,SEZHUK-231029-257579,2023-10-31 03:35:00,1.2943333166666666
282,SEZHUK-231029-257580,2023-11-05 06:16:00,1349.0923333333333
283,SEZHUK-231029-257614,2023-11-01 08:25:00,51.56933333333333
284,SEZHUK-231029-257617,2023-11-02 10:37:00,208.63933333333333
285,SEZHUK-231029-257642,2023-11-02 09:55:00,60.74133333333334
286,SEZHUK-231029-257643,2023-11-02 19:12:00,848.4893333166667
287,SEZHUK-231030-257708,2023-10-31 14:59:00,0.568
288,SEZHUK-231030-257759,2023-11-01 18:16:00,51.056
289,SEZHUK-231030-257775,2023-10-31 17:15:00,75.181
290,SEZHUK-231030-257778,2023-11-01 12:12:00,1649.557
291,SEZHUK-231030-257779,2023-11-17 12:42:00,24648.973
292,SEZHUK-231030-257791,2023-11-01 18:49:00,2163.717
293,SEZHUK-231030-257797,2023-11-04 19:16:00,2317.187999983333
294,SEZHUK-231030-257800,2023-11-06 06:15:00,18.689
295,SEZHUK-231030-257828,2023-11-01 04:09:00,19.52799998333333
296,SEZHUK-231030-257832,2023-11-01 11:25:00,399.655
297,SEZHUK-231030-257837,2023-11-01 10:57:00,122.613
298,SEZHUK-231030-257844,2023-11-01 10:33:00,24.517
299,SEZHUK-231030-257846,2023-11-01 10:20:00,29.922
300,SEZHUK-231030-257852,2023-11-01 11:34:00,34.243
301,SEZHUK-231030-257855,2023-11-01 07:04:00,4.891
302,SEZHUK-231030-257856,2023-11-03 22:04:00,3400.839
303,SEZHUK-231030-257857,2023-11-01 08:29:00,2.363
304,SEZHUK-231030-257858,2023-11-01 08:45:00,316.9769999833333
305,SEZHUK-231031-257973,2023-11-01 18:35:00,362.822
306,SEZHUK-231031-257974,2023-11-08 06:37:00,8264.366
307,SEZHUK-231031-257978,2023-11-01 18:06:00,131.335
308,SEZHUK-231031-257995,2023-11-01 13:59:00,21.065
309,SEZHUK-231031-257998,2023-11-01 14:48:00,48.31299998333333
310,SEZHUK-231031-258018,2023-11-01 10:09:00,19.87799998333333
311,SEZHUK-231031-258048,2023-11-07 11:05:00,8569.684
312,SEZHUK-231031-258050,2023-11-17 07:43:00,22867.806
313,SEZHUK-231031-258061,2023-11-02 02:48:00,1.6169999833333333
314,SEZHUK-231031-258062,2023-11-02 04:12:00,47.577
315,SEZHUK-231031-258065,2023-11-03 01:28:00,14.307
316,SEZHUK-231031-258072,2023-11-04 05:33:00,1293.839
317,SEZHUK-231031-258097,2023-11-02 14:57:00,152.011
318,SEZHUK-231031-258099,2023-11-02 05:26:00,16.697
319,SEZHUK-231031-258103,2023-11-02 04:52:00,87.054
320,SEZHUK-231031-258145,2023-11-05 23:44:00,5515.62
321,SEZHUK-231031-258153,2023-11-02 10:40:00,15.135
322,SEZHUK-231101-258202,2023-11-03 05:52:00,1.2659999833333333
323,SEZHUK-231101-258215,2023-11-02 12:08:00,7.887
324,SEZHUK-231101-258218,2023-11-04 12:49:00,3032.647
325,SEZHUK-231101-258221,2023-11-03 11:13:00,1324.54
326,SEZHUK-231101-258222,2023-11-02 15:19:00,54.717
327,SEZHUK-231101-258224,2023-11-03 09:23:00,59.405
328,SEZHUK-231101-258236,2023-11-03 13:21:00,118.995
329,SEZHUK-231101-258277,2023-11-09 07:43:00,43.98199998333334
330,SEZHUK-231101-258324,2023-11-08 08:46:00,8689.386
331,SEZHUK-231101-258325,2023-11-08 07:56:00,8549.984
332,SEZHUK-231101-258385,2023-11-03 14:34:00,29.295
333,SEZHUK-231101-258431,2023-11-03 08:44:00,143.636
334,SEZHUK-231102-258520,2023-11-05 04:00:00,940.262
335,SEZHUK-231102-258521,2023-11-03 12:31:00,65.22399998333334
336,SEZHUK-231102-258533,2023-11-07 11:37:00,1340.714
337,SEZHUK-231102-258542,2023-11-17 10:48:00,1638.395
338,SEZHUK-231102-258624,2023-11-16 18:00:00,545.951
339,SEZHUK-231102-258659,2023-11-20 20:29:00,5176.252
340,SEZHUK-231102-258889,2023-11-04 14:20:00,55.395
341,SEZHUK-231102-258892,2023-11-09 09:29:00,8666.395
342,SEZHUK-231102-258896,2023-11-08 09:20:00,7350.576999983333
343,SEZHUK-231102-258898,2023-11-07 08:05:00,16.564
344,SEZHUK-231102-258899,2023-11-04 23:17:00,893.4119999833333
345,SEZHUK-231102-258900,2023-11-04 13:01:00,1.409
346,SEZHUK-231102-258924,2023-11-04 11:58:00,33.0
347,SEZHUK-231102-258937,2023-11-06 21:57:00,44.563
348,SEZHUK-231102-258951,2023-11-06 06:37:00,12.289
349,SEZHUK-231102-258954,2023-11-06 10:04:00,62.786
350,SEZHUK-231102-258956,2023-11-07 00:08:00,223.558
351,SEZHUK-231102-258977,2023-11-06 12:26:00,2.482
352,SEZHUK-231102-259027,2023-11-06 16:25:00,10.561
353,SEZHUK-231102-259102,2023-11-06 15:19:00,4323.798
354,SEZHUK-231102-259104,2023-11-09 16:51:00,8910.056999983333
355,SEZHUK-231103-259113,2023-11-09 10:01:00,1982.939
356,SEZHUK-231103-259117,2023-11-08 08:34:00,19.536
357,SEZHUK-231103-259147,2023-11-06 15:25:00,95.268
358,SEZHUK-231103-259191,2023-11-09 02:13:00,61.331
359,SEZHUK-231103-259196,2023-11-07 16:40:00,40.56299998333333
360,SEZHUK-231103-259202,2023-11-05 06:15:00,3.706999983333333
361,SEZHUK-231103-259207,2023-11-07 09:01:00,21.42399998333333
362,SEZHUK-231103-259287,2023-11-07 06:29:00,27.762
363,SEZHUK-231103-259295,2023-11-06 13:17:00,231.497
364,SEZHUK-231103-259330,2023-11-09 11:03:00,4558.644
365,SEZHUK-231103-259332,2023-11-09 12:00:00,4647.622
366,SEZHUK-231103-259333,2023-11-09 12:14:00,4597.4509999833335
367,SEZHUK-231103-259354,2023-11-07 10:39:00,83.33999999999999
368,SEZHUK-231103-259380,2023-11-09 05:52:00,202.17
369,SEZHUK-231103-259496,2023-11-04 15:45:00,104.25499998333332
370,SEZHUK-231103-259590,2023-11-06 18:33:00,134.442
371,SEZHUK-231104-259656,2023-11-05 10:00:00,88.03433331666666
372,SEZHUK-231105-259692,2023-11-06 11:28:00,53.36199998333333
373,SEZHUK-231105-259694,2023-11-09 10:51:00,3003.3103333333333
374,SEZHUK-231105-259703,2023-11-10 08:41:00,105.16333333333334
375,SEZHUK-231105-259719,2023-11-11 09:26:00,2.6263333333333336
376,SEZHUK-231105-259723,2023-11-07 22:10:00,984.3343333166666
377,SEZHUK-231105-259727,2023-11-08 04:26:00,52.356
378,SEZHUK-231105-259728,2023-11-09 05:51:00,108.13733331666668
379,SEZHUK-231105-259732,2023-11-13 16:33:00,4888.5160000000005
380,SEZHUK-231105-259734,2023-11-15 10:10:00,8741.955333333333
